id,idx
1503003,894
1503004,895
1503005,896
1503006,897
1503007,898
1503008,899
1503009,900
1503010,901
15031,902
15032_AM,903
15035_AM,904
1503601,905
1503602,906
1503603_AD,907
1503606,908
1503607,909
1503608,910
15037,911
15041,912
15043,913
15046,914
15047_AM,915
15048,916
15050_AM,917
15051,918
15052_AM,919
15053,920
15054,921
15055_AM,922
15056,923
15057,924
15058,925
15059,926
15060,927
15061_AM,928
15062,929
15064_AM,930
15065,931
15066,932
15067,933
15068,934
15069,935
15070_AM,936
15071,937
15072,938
15073,939
15074_AM,940
15075,941
15077,942
1507801,943
1507802,944
1507803,945
1507804,946
1507805,947
1507806,948
15082,949
15087,950
15088_AM,951
15089,952
15092,953
15093,954
15902,955
16023_AM,956
16027_AM,957
16042_AM,958
16066_AM,959
1607801_AD,960
1607804,961
16102_AM,962
16106_AM,963
16112_AM,964
16113_AM,965
16117_AM,966
16124_AM,967
16125_AM,968
16133,969
16134,970
16154,971
16170_AM,972
16171_AM,973
16175,974
16190,975
16191_AM,976
16203,977
16249_AM,978
16251_AM,979
16903_AM,980
16905_AM,981
17006_AM,982
17007_AM,983
17008,984
17009,985
17012_AM,986
17013_AM,987
17015,988
17016_AM,989
17019_AM,990
17020_AM,991
17022,992
17023,993
17032_AM,994
17033,995
17034,996
17036_AM,997
17039_AM,998
17044,999
17047,1000
17048,1001
17049_AM,1002
17056_AM,1003
17062,1004
17066,1005
17067_AM,1006
1707901,1007
1707902,1008
1707903,1009
1707904_AD,1010
1707906,1011
17083_AM,1012
17086_AM,1013
17089,1014
17092_AM,1015
17094,1016
17095,1017
17103,1018
17111_AM,1019
17114,1020
17117,1021
17118,1022
17132_AM,1023
17137_AM,1024
17141,1025
17142_AM,1026
17146_AM,1027
17147,1028
17152,1029
17155,1030
17160,1031
17163_AM,1032
17164_AM,1033
17167_AM,1034
17178_AM,1035
17180_AM,1036
17181,1037
17185_AM,1038
17186,1039
17193,1040
17199,1041
17202,1042
17207_AM,1043
17211_AM,1044
17213,1045
17221,1046
17223_AM,1047
17233_AM,1048
17901_AM,1049
17902_AM,1050
18003,1051
18006,1052
18011_AM,1053
18013_AM,1054
18014_AM,1055
18017,1056
18021,1057
18022,1058
18023,1059
18027_AM,1060
18029_AM,1061
18036,1062
18047,1063
18056_AM,1064
18057,1065
18059,1066
18061_AM,1067
18062,1068
18063_AM,1069
18066_AM,1070
18071_AM,1071
18079_AM,1072
18084,1073
1808701,1074
1808702,1075
1808703,1076
1808704_AD,1077
1808706,1078
1808707,1079
1808709,1080
18088_AM,1081
18089,1082
18093,1083
18094_AM,1084
18098,1085
18099_AM,1086
18100,1087
18101,1088
18102_AM,1089
18105,1090
18108_AM,1091
18116_AM,1092
18119_AM,1093
18122_AM,1094
18127,1095
18132_AM,1096
18133_AM,1097
18134,1098
18135_AM,1099
18136_AM,1100
18138_AM,1101
1814001,1102
1814002,1103
1814003,1104
1814004,1105
1814005_AD,1106
18145,1107
18147,1108
18149_AM,1109
18150,1110
18152_AM,1111
18153,1112
18158,1113
18162_AM,1114
18164_AM,1115
18165,1116
18173,1117
18175,1118
18182_AM,1119
18184_AM,1120
18193,1121
18194_AM,1122
18903_AM,1123
18905,1124
18907_AM,1125
18911,1126
19024,1127
19046_AM,1128
19053_AM,1129
19058_AM,1130
19071_AM,1131
19086_AM,1132
1913001,1133
1913002,1134
1913003,1135
1913004,1136
1913005,1137
19151_AM,1138
19156_AM,1139
19160_AM,1140
19171,1141
19190_AM,1142
19192_AM,1143
19220_AM,1144
19245_AM,1145
19257_AM,1146
19274_AM,1147
19280_AM,1148
19319,1149
19326_AM,1150
19331_AM,1151
20005_AM,1152
20009,1153
20010_AM,1154
20013,1155
20017,1156
20018,1157
20019,1158
20022_AM,1159
20025_AM,1160
20027_AM,1161
20028_AM,1162
20029,1163
20030,1164
20032,1165
20034_AM,1166
20036,1167
20039_AM,1168
20040,1169
20042,1170
20043_AM,1171
2004501,1172
2004502,1173
2004503,1174
2004504,1175
20049,1176
20051,1177
20052_AM,1178
20053,1179
20055,1180
20056_AM,1181
20059,1182
20061,1183
20063,1184
20064,1185
20067,1186
2006901,1187
2006902,1188
2006903,1189
2006904,1190
2006905,1191
2006906,1192
2006907,1193
20071,1194
20072,1195
20073,1196
20074_AM,1197
20075,1198
20076,1199
20077_AM,1200
20079,1201
20080,1202
20081,1203
20902,1204
20903,1205
21002,1206
21005,1207
21006_AM,1208
21007_AM,1209
21008_AM,1210
21010_AM,1211
21011,1212
21013,1213
21014_AM,1214
21021,1215
21023_AM,1216
21025,1217
21029_AM,1218
21035_AM,1219
21040_AM,1220
2104101,1221
2104102,1222
2104103,1223
2104104,1224
2104105,1225
2104106,1226
2104107,1227
2104108,1228
21042,1229
21043_AM,1230
21044,1231
21049_AM,1232
21050,1233
21052_AM,1234
21053_AM,1235
21054,1236
21055,1237
21056_AM,1238
21058_AM,1239
21060,1240
21061,1241
21064,1242
21069_AM,1243
21070,1244
21072,1245
21074_AM,1246
21076_AM,1247
22017_AM,1248
22021_AM,1249
22039_AM,1250
22048,1251
22053_AM,1252
22054_AM,1253
22060_AM,1254
22061,1255
22084_AM,1256
22112_AM,1257
22116_AM,1258
22117_AM,1259
2212501,1260
2212502,1261
2212503,1262
2212504,1263
2212505,1264
2212506,1265
2212507,1266
2212508,1267
22130,1268
22137_AM,1269
22158,1270
22199,1271
22204_AM,1272
22213_AM,1273
22225_AM,1274
22228_AM,1275
22254_AM,1276
22901_AM,1277
22907_AM,1278
23002,1279
23003,1280
23005,1281
23006_AM,1282
23009,1283
23010,1284
23012_AM,1285
23014_AM,1286
23018_AM,1287
23024,1288
23025_AM,1289
23026_AM,1290
23028,1291
23038,1292
23039_AM,1293
23044_AM,1294
2305001,1295
2305002,1296
2305003,1297
2305004,1298
2305005,1299
2305006,1300
2305007_AD,1301
2305009,1302
23053,1303
2305501_AD,1304
2305502_AD,1305
2305504,1306
2305505,1307
2305506,1308
2305507,1309
23058,1310
23059_AM,1311
23060_AM,1312
23061_AM,1313
23063_AM,1314
23066,1315
23067_AM,1316
23069_AM,1317
23070_AM,1318
23073_AM,1319
23074_AM,1320
23079_AM,1321
23082_AM,1322
23086_AM,1323
23087,1324
23088_AM,1325
23092,1326
23093_AM,1327
23094_AM,1328
23095,1329
